,variable,value
255,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
256,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
257,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
258,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
259,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
260,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
261,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
262,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
263,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
264,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
265,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
266,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
267,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
268,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
269,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
270,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
271,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
272,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
273,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
274,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
275,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
276,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
277,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
278,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
279,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
280,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
281,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
282,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
283,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
284,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
285,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
286,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
287,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
288,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
289,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
290,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
291,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
292,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
293,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
294,ENDUSE,CONSUMER GOODS
295,ENDUSE,CONSUMER GOODS
296,ENDUSE,CONSUMER GOODS
297,ENDUSE,CONSUMER GOODS
298,ENDUSE,CONSUMER GOODS
299,ENDUSE,CONSUMER GOODS
300,ENDUSE,CONSUMER GOODS
301,ENDUSE,CONSUMER GOODS
302,ENDUSE,CONSUMER GOODS
303,ENDUSE,CONSUMER GOODS
304,ENDUSE,CONSUMER GOODS
305,ENDUSE,CONSUMER GOODS
306,ENDUSE,CONSUMER GOODS
307,ENDUSE,CONSUMER GOODS
308,ENDUSE,CONSUMER GOODS
309,ENDUSE,CONSUMER GOODS
310,ENDUSE,CONSUMER GOODS
311,ENDUSE,CONSUMER GOODS
312,ENDUSE,CONSUMER GOODS
313,ENDUSE,CONSUMER GOODS
314,ENDUSE,CONSUMER GOODS
315,ENDUSE,CONSUMER GOODS
316,ENDUSE,CONSUMER GOODS
317,ENDUSE,CONSUMER GOODS
318,ENDUSE,CONSUMER GOODS
319,ENDUSE,CONSUMER GOODS
320,ENDUSE,CONSUMER GOODS
321,ENDUSE,CONSUMER GOODS
322,ENDUSE,CONSUMER GOODS
323,ENDUSE,CONSUMER GOODS
324,ENDUSE,CONSUMER GOODS
325,ENDUSE,CONSUMER GOODS
326,ENDUSE,CONSUMER GOODS
327,ENDUSE,CONSUMER GOODS
328,ENDUSE,CONSUMER GOODS
329,ENDUSE,CONSUMER GOODS
330,ENDUSE,CONSUMER GOODS
331,ENDUSE,CONSUMER GOODS
332,ENDUSE,CONSUMER GOODS
333,ENDUSE,CONSUMER GOODS
334,ENDUSE,CONSUMER GOODS
335,ENDUSE,CONSUMER GOODS
336,ENDUSE,OTHER GOODS
337,ENDUSE,OTHER GOODS
338,ENDUSE,OTHER GOODS
339,ENDUSE,OTHER GOODS
340,ENDUSE,OTHER GOODS
341,ENDUSE,OTHER GOODS
342,ENDUSE,OTHER GOODS
343,ENDUSE,OTHER GOODS
344,ENDUSE,OTHER GOODS
345,ENDUSE,OTHER GOODS
346,ENDUSE,OTHER GOODS
347,ENDUSE,OTHER GOODS
348,ENDUSE,OTHER GOODS
349,ENDUSE,OTHER GOODS
350,ENDUSE,OTHER GOODS
351,ENDUSE,OTHER GOODS
352,ENDUSE,OTHER GOODS
353,ENDUSE,OTHER GOODS
354,ENDUSE,OTHER GOODS
355,ENDUSE,OTHER GOODS
356,ENDUSE,OTHER GOODS
357,ENDUSE,OTHER GOODS
358,ENDUSE,OTHER GOODS
359,ENDUSE,OTHER GOODS
360,ENDUSE,OTHER GOODS
361,ENDUSE,OTHER GOODS
362,ENDUSE,OTHER GOODS
363,ENDUSE,OTHER GOODS
364,ENDUSE,OTHER GOODS
365,ENDUSE,OTHER GOODS
366,ENDUSE,OTHER GOODS
367,ENDUSE,OTHER GOODS
368,ENDUSE,OTHER GOODS
369,ENDUSE,OTHER GOODS
370,ENDUSE,OTHER GOODS
371,ENDUSE,OTHER GOODS
372,ENDUSE,OTHER GOODS
373,ENDUSE,OTHER GOODS
374,ENDUSE,OTHER GOODS
375,ENDUSE,OTHER GOODS
376,ENDUSE,OTHER GOODS
377,ENDUSE,OTHER GOODS
378,ENDUSE,OTHER GOODS
379,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
380,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
381,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
382,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
383,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
384,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
385,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
386,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
387,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
388,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
389,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
390,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
391,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
392,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
393,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
394,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
395,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
396,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
397,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
398,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
399,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
400,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
401,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
402,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
403,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
404,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
405,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
406,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
407,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
408,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
409,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
410,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
411,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
412,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
413,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
414,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
415,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
416,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
417,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
418,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
419,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
420,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
421,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
422,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
423,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
424,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
425,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
426,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
427,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
428,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
429,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
430,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
431,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
432,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
433,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
434,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
435,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
436,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
437,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
438,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
439,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
440,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
441,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
442,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
443,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
444,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
445,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
446,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
447,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
448,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
449,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
450,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
451,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
452,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
453,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
454,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
455,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
456,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
457,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
458,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
459,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
460,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
461,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
462,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
463,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
464,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
465,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
466,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
