ENDUSE,District,Weight,Value,Item_Count,Date
INDUSTRIAL SUPPLIES AND MATERIALS,"NORFOLK, VA",209808243,493996531,20908,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"WILMINGTON, NC",56603430,244797602,10108,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"CHARLESTON, SC",331088433,1086304146,35732,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SAVANNAH, GA",507852551,1582704480,63715,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"TAMPA, FL",85409794,584810270,8416,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"MOBILE, AL",65903994,797340483,7334,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"NEW ORLEANS, LA",319388231,2638755676,48925,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"PORT ARTHUR, TX",1160068,943461919,202,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"LAREDO, TX",2746092,1384957966,110157,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"EL PASO, TX",5445773,312478969,45608,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SAN DIEGO, CA",709756,243886074,33096,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"NOGALES, AZ",962033,144569017,7799,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"LOS ANGELES, CA",678098242,3406700197,108369,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SAN FRANCISCO, CA",253116355,1808641164,23876,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"COLUMBIA-SNAKE, OR",22013578,136631069,3476,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SEATTLE, WA",186109828,1595405914,52646,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"ANCHORAGE, AK",2026442,137906156,3227,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"HONOLULU, HI",105818442,197368141,1364,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"DULUTH, MN",37410,635772115,15920,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"GREAT FALLS, MT",22935617,1314912749,22222,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"PEMBINA, ND",0,736011688,28554,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"MINNEAPOLIS, MN",27731664,565006495,8492,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"MILWAUKEE, WI",144927,35388496,745,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"DETROIT, MI",26237460,2493732491,137317,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"CHICAGO, IL",197277118,3461332513,75204,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"CLEVELAND, OH",150552679,1031443656,53758,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"ST. LOUIS, MO",77815412,662785344,13714,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SAN JUAN, PR",245377173,610550230,3112,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,U.S. VIRGIN ISLANDS,112677,187845,10,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"MIAMI, FL",217880293,497527575,15608,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"HOUSTON-GALVESTON, TX",658660312,3825666316,38731,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"WASHINGTON, DC",9087,29501292,2196,2019-08-01
INDUSTRIAL SUPPLIES AND MATERIALS,"DALLAS-FORT WORTH, TX",53317274,456841420,21154,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","PORTLAND, ME",637031,75850986,1222,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","ST. ALBANS, VT",0,198005166,7852,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","BOSTON, MA",12351085,656844926,24748,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","PROVIDENCE, RI",1248,389421,22,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","OGDENSBURG, NY",0,311323123,15649,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","BUFFALO, NY",1723554,531530399,34581,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","NEW YORK CITY, NY",134510943,3329468341,105082,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","PHILADELPHIA, PA",17507140,495146568,27070,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","BALTIMORE, MD",35932882,702407399,12925,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","NORFOLK, VA",71541644,957257213,23352,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","WILMINGTON, NC",17742094,417951076,17285,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","CHARLESTON, SC",97066572,1445055814,42452,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","SAVANNAH, GA",200458555,3507960409,79905,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","TAMPA, FL",36306179,379283062,7279,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","MOBILE, AL",16156014,394534230,7688,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","NEW ORLEANS, LA",59452793,4036751527,134572,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","PORT ARTHUR, TX",0,14780782,5,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","LAREDO, TX",3815706,4381974100,222679,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","EL PASO, TX",17731533,3080654290,126817,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","SAN FRANCISCO, CA",60451732,2722469634,69091,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","SAN DIEGO, CA",377223,1243235977,65830,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","NOGALES, AZ",498557,658894811,34701,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","LOS ANGELES, CA",353215997,7819377087,173863,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","COLUMBIA-SNAKE, OR",7163967,168839135,5424,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","SEATTLE, WA",60142419,1907370905,38857,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","ANCHORAGE, AK",108086,1434367279,20949,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","HONOLULU, HI",1360963,39108089,1972,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","GREAT FALLS, MT",15628634,450268834,12180,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","PEMBINA, ND",32046,218706306,10352,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","MINNEAPOLIS, MN",14289130,349941183,13159,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","DULUTH, MN",0,12260723,898,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","MILWAUKEE, WI",3291961,38046842,3444,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","DETROIT, MI",11148814,1632185245,67219,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","CHICAGO, IL",110003953,4858099788,174435,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","CLEVELAND, OH",52560734,3886228909,191972,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","ST. LOUIS, MO",36090757,395234503,17420,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","SAN JUAN, PR",6519314,203238031,2502,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE",U.S. VIRGIN ISLANDS,377,55774,4,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","MIAMI, FL",28588069,809083734,21271,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","HOUSTON-GALVESTON, TX",141958569,2069489617,36735,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","WASHINGTON, DC",37069,205326612,7843,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","DALLAS-FORT WORTH, TX",43657945,1653756183,49246,2019-08-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE",VESSELS UNDER OWN POWER,0,9719,1,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","PORTLAND, ME",16770,35135734,4717,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","ST. ALBANS, VT",0,18693534,1152,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","BOSTON, MA",5094508,97573114,1218,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","PROVIDENCE, RI",0,693491521,12858,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","OGDENSBURG, NY",0,108921255,5818,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","BUFFALO, NY",439321,872581619,30745,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","NEW YORK CITY, NY",84339790,1547619866,44708,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","PHILADELPHIA, PA",16762205,416088267,11682,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","BALTIMORE, MD",11503092,1262304554,9549,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","NORFOLK, VA",43767388,276662721,8574,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","WILMINGTON, NC",5947421,38236775,2317,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CHARLESTON, SC",95933496,724685559,33616,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","SAVANNAH, GA",99487875,1586545692,34052,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","TAMPA, FL",13020159,1017373025,14321,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","MOBILE, AL",33616451,255036994,8119,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","NEW ORLEANS, LA",35178445,619318886,22427,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","LAREDO, TX",1408282,8115259609,392272,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","EL PASO, TX",2479304,1460694256,119250,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","SAN DIEGO, CA",6679,1400231222,22113,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","NOGALES, AZ",53400,429143795,23656,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","LOS ANGELES, CA",180477634,2536189000,60768,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","SAN FRANCISCO, CA",21643857,816250414,16583,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","COLUMBIA-SNAKE, OR",8480771,665628745,1549,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","SEATTLE, WA",27911576,569136652,11866,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","ANCHORAGE, AK",0,4344068,496,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","MINNEAPOLIS, MN",4495215,55395275,3370,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","HONOLULU, HI",69212,21305453,209,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","GREAT FALLS, MT",1970811,58717394,2181,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","PEMBINA, ND",0,99084897,3151,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","DULUTH, MN",0,1600675,246,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","MILWAUKEE, WI",128590,6226005,257,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","DETROIT, MI",16704533,4622427971,234843,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CHICAGO, IL",46150878,568093399,29320,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CLEVELAND, OH",48921685,593708761,21670,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","ST. LOUIS, MO",16241042,81609738,4620,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","SAN JUAN, PR",2602192,77449488,905,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES",U.S. VIRGIN ISLANDS,20419,97263,15,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","MIAMI, FL",13520614,165743456,9805,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","HOUSTON-GALVESTON, TX",20421342,405552832,12804,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","WASHINGTON, DC",0,7268920,579,2019-08-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","DALLAS-FORT WORTH, TX",28091167,137681273,7205,2019-08-01
CONSUMER GOODS,"PORTLAND, ME",630533,209776472,2703,2019-08-01
CONSUMER GOODS,"ST. ALBANS, VT",0,73422151,8602,2019-08-01
CONSUMER GOODS,"BOSTON, MA",33079212,609690752,22416,2019-08-01
CONSUMER GOODS,"PROVIDENCE, RI",1741,10774843,714,2019-08-01
CONSUMER GOODS,"OGDENSBURG, NY",9683,483455521,49117,2019-08-01
CONSUMER GOODS,"BUFFALO, NY",1048579,495158955,52395,2019-08-01
CONSUMER GOODS,"NEW YORK CITY, NY",546261074,8331769543,508851,2019-08-01
CONSUMER GOODS,"PHILADELPHIA, PA",31326897,1895691533,41162,2019-08-01
CONSUMER GOODS,"BALTIMORE, MD",64572245,389716601,30695,2019-08-01
CONSUMER GOODS,"NORFOLK, VA",171701097,1159575058,67098,2019-08-01
CONSUMER GOODS,"WILMINGTON, NC",39920111,1411867449,30734,2019-08-01
CONSUMER GOODS,"CHARLESTON, SC",118393752,1008242441,54821,2019-08-01
CONSUMER GOODS,"SAVANNAH, GA",385408849,3339563741,185744,2019-08-01
CONSUMER GOODS,"TAMPA, FL",61898320,499904805,35873,2019-08-01
CONSUMER GOODS,"MOBILE, AL",49050054,462343409,35177,2019-08-01
CONSUMER GOODS,"NEW ORLEANS, LA",70079363,1662702773,93181,2019-08-01
CONSUMER GOODS,"PORT ARTHUR, TX",0,202098,6,2019-08-01
CONSUMER GOODS,"LAREDO, TX",559696,1769455842,186009,2019-08-01
CONSUMER GOODS,"EL PASO, TX",5369607,472003837,56407,2019-08-01
CONSUMER GOODS,"SAN DIEGO, CA",2253196,1120233058,82736,2019-08-01
CONSUMER GOODS,"NOGALES, AZ",10791763,140179500,14246,2019-08-01
CONSUMER GOODS,"LOS ANGELES, CA",1395870604,12104757699,684534,2019-08-01
CONSUMER GOODS,"SAN FRANCISCO, CA",119311117,977542541,86667,2019-08-01
CONSUMER GOODS,"COLUMBIA-SNAKE, OR",9150917,80653886,8904,2019-08-01
CONSUMER GOODS,"SEATTLE, WA",180201466,2078403184,104767,2019-08-01
CONSUMER GOODS,"PEMBINA, ND",0,241138664,8476,2019-08-01
CONSUMER GOODS,"ANCHORAGE, AK",0,69942404,6881,2019-08-01
CONSUMER GOODS,"HONOLULU, HI",3260354,27772519,5183,2019-08-01
CONSUMER GOODS,"GREAT FALLS, MT",26725085,268682093,19115,2019-08-01
CONSUMER GOODS,"MINNEAPOLIS, MN",20844281,229974890,14836,2019-08-01
CONSUMER GOODS,"DULUTH, MN",21343,71395743,7036,2019-08-01
CONSUMER GOODS,"MILWAUKEE, WI",505403,16231854,1072,2019-08-01
CONSUMER GOODS,"DETROIT, MI",6806769,1366969551,75895,2019-08-01
CONSUMER GOODS,"CHICAGO, IL",150653658,6449742183,130969,2019-08-01
CONSUMER GOODS,"CLEVELAND, OH",86285107,2908121710,131844,2019-08-01
CONSUMER GOODS,"ST. LOUIS, MO",63013230,457604518,28829,2019-08-01
CONSUMER GOODS,"SAN JUAN, PR",16236412,1117386549,6915,2019-08-01
CONSUMER GOODS,U.S. VIRGIN ISLANDS,48082,576934,24,2019-08-01
CONSUMER GOODS,"MIAMI, FL",97570015,1382068750,107417,2019-08-01
CONSUMER GOODS,"HOUSTON-GALVESTON, TX",142363690,831625260,52273,2019-08-01
CONSUMER GOODS,"WASHINGTON, DC",613418,498398694,5235,2019-08-01
CONSUMER GOODS,"DALLAS-FORT WORTH, TX",88842377,2003305601,70779,2019-08-01
OTHER GOODS,"PORTLAND, ME",10664,14684763,691,2019-08-01
OTHER GOODS,"ST. ALBANS, VT",0,14565548,1065,2019-08-01
OTHER GOODS,"BOSTON, MA",803568,98270398,1823,2019-08-01
OTHER GOODS,"PROVIDENCE, RI",0,1109704,3,2019-08-01
OTHER GOODS,"OGDENSBURG, NY",0,117648133,4866,2019-08-01
OTHER GOODS,"BUFFALO, NY",117522,175784239,9627,2019-08-01
OTHER GOODS,"NEW YORK CITY, NY",7454406,928944675,11680,2019-08-01
OTHER GOODS,"PHILADELPHIA, PA",1352218,78467292,1868,2019-08-01
OTHER GOODS,"BALTIMORE, MD",1030841,55952874,318,2019-08-01
OTHER GOODS,"NORFOLK, VA",1589737,54981480,808,2019-08-01
OTHER GOODS,"WILMINGTON, NC",962039,53739444,1151,2019-08-01
OTHER GOODS,"CHARLESTON, SC",1452940,41869576,1517,2019-08-01
OTHER GOODS,"SAVANNAH, GA",4948629,349931152,5184,2019-08-01
OTHER GOODS,"TAMPA, FL",382713,31659177,609,2019-08-01
OTHER GOODS,"LAREDO, TX",12651,231178398,16606,2019-08-01
OTHER GOODS,"MOBILE, AL",189247,21102866,428,2019-08-01
OTHER GOODS,"NEW ORLEANS, LA",911881,590481621,25190,2019-08-01
OTHER GOODS,"EL PASO, TX",30729,61070448,6105,2019-08-01
OTHER GOODS,"SAN DIEGO, CA",4128,179581130,11127,2019-08-01
OTHER GOODS,"NOGALES, AZ",22937,125248365,7618,2019-08-01
OTHER GOODS,"LOS ANGELES, CA",6184866,422988012,9393,2019-08-01
OTHER GOODS,"SAN FRANCISCO, CA",3325149,143778903,6180,2019-08-01
OTHER GOODS,"COLUMBIA-SNAKE, OR",236215,14167030,581,2019-08-01
OTHER GOODS,"SEATTLE, WA",1247035,201105120,8684,2019-08-01
OTHER GOODS,"ANCHORAGE, AK",0,104972478,2442,2019-08-01
OTHER GOODS,"HONOLULU, HI",18753,4909362,317,2019-08-01
OTHER GOODS,"GREAT FALLS, MT",105357,164635281,6033,2019-08-01
OTHER GOODS,"PEMBINA, ND",0,150434384,4344,2019-08-01
OTHER GOODS,"MINNEAPOLIS, MN",497125,29160433,783,2019-08-01
OTHER GOODS,"DULUTH, MN",0,5154068,108,2019-08-01
OTHER GOODS,"MILWAUKEE, WI",1072,6288122,130,2019-08-01
OTHER GOODS,"DETROIT, MI",1323101,577863859,23419,2019-08-01
OTHER GOODS,"CHICAGO, IL",2418446,990812841,8269,2019-08-01
OTHER GOODS,"CLEVELAND, OH",984723,486048637,20154,2019-08-01
OTHER GOODS,"ST. LOUIS, MO",2142893,85105586,4125,2019-08-01
OTHER GOODS,"SAN JUAN, PR",834168,8481588,340,2019-08-01
OTHER GOODS,U.S. VIRGIN ISLANDS,5123,10280,1,2019-08-01
OTHER GOODS,"MIAMI, FL",5244748,384140173,7363,2019-08-01
OTHER GOODS,"HOUSTON-GALVESTON, TX",4109611,258091306,2495,2019-08-01
OTHER GOODS,"WASHINGTON, DC",0,25146549,467,2019-08-01
OTHER GOODS,"DALLAS-FORT WORTH, TX",308409,332427910,5498,2019-08-01
OTHER GOODS,LOW VALUE,0,1619855318,223,2019-08-01
"FOODS, FEEDS, AND BEVERAGES","PORTLAND, ME",4716359,235288885,8485,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","ST. ALBANS, VT",0,54486800,3393,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","BOSTON, MA",23024339,111987874,3657,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","PROVIDENCE, RI",0,915750,1,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","OGDENSBURG, NY",0,223016056,18964,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","BUFFALO, NY",681664,354502237,30800,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","NEW YORK CITY, NY",758325174,1943762102,67033,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","PHILADELPHIA, PA",365550765,597472315,13726,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","BALTIMORE, MD",88587776,306499305,7433,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","NORFOLK, VA",80917883,222177601,6270,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","WILMINGTON, NC",4527581,25930026,287,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","CHARLESTON, SC",32241107,94561661,2161,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","SAVANNAH, GA",141034558,518127316,8160,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","TAMPA, FL",57720598,142886835,2213,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","MOBILE, AL",87216189,27716473,1160,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","NEW ORLEANS, LA",36002199,135991999,1520,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","NOGALES, AZ",181636,157505919,9870,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","LAREDO, TX",665024,1337814602,72015,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","EL PASO, TX",1683153,120148054,7427,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","SAN DIEGO, CA",55487562,288681443,25873,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","LOS ANGELES, CA",438634154,1071533174,32376,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","SAN FRANCISCO, CA",200811725,522267657,15056,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","COLUMBIA-SNAKE, OR",4989045,10166602,395,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","SEATTLE, WA",74998876,429862913,23500,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","ANCHORAGE, AK",899454,1294850,54,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","HONOLULU, HI",6278000,18787742,1055,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","GREAT FALLS, MT",3947743,241381363,8654,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","PEMBINA, ND",0,230480814,11009,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","MINNEAPOLIS, MN",6569806,28768069,896,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","DULUTH, MN",0,49244296,1541,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","MILWAUKEE, WI",0,2092796,7,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","DETROIT, MI",5676756,718788164,54394,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","CHICAGO, IL",82801265,307135976,9821,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","CLEVELAND, OH",42735546,89854779,2170,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","ST. LOUIS, MO",17173836,48372355,1706,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","SAN JUAN, PR",83038808,98327330,2606,2019-09-01
"FOODS, FEEDS, AND BEVERAGES",U.S. VIRGIN ISLANDS,672080,922225,49,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","MIAMI, FL",204220493,589478990,23593,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","HOUSTON-GALVESTON, TX",186644887,442511465,11279,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","WASHINGTON, DC",27291,4336279,367,2019-09-01
"FOODS, FEEDS, AND BEVERAGES","DALLAS-FORT WORTH, TX",5635007,21130700,1074,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"PORTLAND, ME",3856336,343059776,9970,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"ST. ALBANS, VT",0,228834095,18681,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"BOSTON, MA",35446228,517118217,8445,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"PROVIDENCE, RI",4213,136737326,90,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"OGDENSBURG, NY",19950,1032260148,50299,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"BUFFALO, NY",1698636,978488808,55573,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"NEW YORK CITY, NY",623541236,4197270420,90002,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"PHILADELPHIA, PA",84801965,1002770328,14479,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"BALTIMORE, MD",239023285,795714826,13108,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"NORFOLK, VA",224356662,538876474,20516,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"WILMINGTON, NC",50949069,209386840,10340,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"CHARLESTON, SC",303623524,957721168,30828,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SAVANNAH, GA",431814331,1314022988,55902,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"TAMPA, FL",85868866,542682643,8007,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"MOBILE, AL",62850131,797283726,6144,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"NEW ORLEANS, LA",290948115,2231676588,43613,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"PORT ARTHUR, TX",82611,595876599,147,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"LAREDO, TX",3243325,1338326524,102173,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"EL PASO, TX",5030116,284264185,42898,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SAN DIEGO, CA",492879,220336966,29918,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"NOGALES, AZ",1393022,139164070,7412,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"LOS ANGELES, CA",648228863,3235759088,107299,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SAN FRANCISCO, CA",188441866,1638405282,21688,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"COLUMBIA-SNAKE, OR",21870490,134275300,3460,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"GREAT FALLS, MT",24463509,1260833444,21221,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SEATTLE, WA",157847338,1483812571,51677,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"ANCHORAGE, AK",1992406,88712270,3008,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"HONOLULU, HI",59219684,146598196,1246,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"PEMBINA, ND",0,716776246,27830,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"MINNEAPOLIS, MN",25570419,445472613,7738,2019-09-01
INDUSTRIAL SUPPLIES AND MATERIALS,"DULUTH, MN",25822,637772158,16417,2019-09-01
